model,trial,score,hidden_dim,dropout,learning_rate,weight_decay,use_focal_loss,focal_gamma,heads,pr_auc,macro_f1,illicit_recall,precision,roc_auc,false_positive_rate,support_licit,support_illicit,selected_threshold
gat,6,1.048780319246226,64,0.3,0.0005,0.0001,False,1.5,6,0.5144887710130785,0.6628493788819876,0.875,0.2916666666666667,0.8880649717514124,0.192090395480226,177,16,0.59
gat,8,1.048780319246226,64,0.3,0.0005,0.0001,False,2.0,6,0.5144887710130785,0.6628493788819876,0.875,0.2916666666666667,0.8880649717514124,0.192090395480226,177,16,0.59
gat,2,0.9600447652528576,64,0.3,0.0005,0.0001,True,1.5,6,0.4946522766937169,0.5819159178433889,0.875,0.21212121212121213,0.8951271186440678,0.2937853107344633,177,16,0.5549999999999999
gat,10,0.9600447652528576,64,0.3,0.0005,0.0005,True,1.5,6,0.4946522766937169,0.5819159178433889,0.875,0.21212121212121213,0.8951271186440678,0.2937853107344633,177,16,0.5549999999999999
gat,4,0.9408768249031014,64,0.3,0.0005,0.0001,True,2.0,6,0.471931387384449,0.5859542602712002,0.875,0.2153846153846154,0.8915960451977402,0.288135593220339,177,16,0.5599999999999999
gat,1,0.8292572137228332,64,0.3,0.0005,0.0001,True,1.5,4,0.3375775233567021,0.6449134199134199,0.6875,0.275,0.8573446327683616,0.1638418079096045,177,16,0.6549999999999999
gat,9,0.8292572137228332,64,0.3,0.0005,0.0005,True,1.5,4,0.3375775233567021,0.6449134199134199,0.6875,0.275,0.8573446327683616,0.1638418079096045,177,16,0.6549999999999999
gat,5,0.8232025117662759,64,0.3,0.0005,0.0001,False,1.5,4,0.33152282140014483,0.6449134199134199,0.6875,0.275,0.8555790960451977,0.1638418079096045,177,16,0.6449999999999999
gat,7,0.8232025117662759,64,0.3,0.0005,0.0001,False,2.0,4,0.33152282140014483,0.6449134199134199,0.6875,0.275,0.8555790960451977,0.1638418079096045,177,16,0.6449999999999999
gat,3,0.8122331808736446,64,0.3,0.0005,0.0001,True,2.0,4,0.3247569058912012,0.6397909667786488,0.6875,0.2682926829268293,0.853813559322034,0.1694915254237288,177,16,0.6599999999999999
gcn,10,1.3152172559313622,128,0.35,0.001,0.0001,True,2.0,4,0.7020099207984238,0.777544240287477,0.8125,0.48148148148148145,0.9544491525423728,0.07909604519774012,177,16,0.6699999999999999
gcn,9,1.2787971552006097,128,0.35,0.001,0.0001,True,1.5,4,0.6949225230796157,0.751372974438945,0.75,0.4444444444444444,0.9533898305084746,0.0847457627118644,177,16,0.6449999999999999
gcn,3,0.9647897382152321,128,0.35,0.0005,0.0001,False,1.5,4,0.42535352823481776,0.6809577134325174,0.8125,0.3170731707317073,0.9127824858757062,0.15819209039548024,177,16,0.5099999999999999
gcn,4,0.9647897382152321,128,0.35,0.0005,0.0001,False,2.0,4,0.42535352823481776,0.6809577134325174,0.8125,0.3170731707317073,0.9127824858757062,0.15819209039548024,177,16,0.5099999999999999
gcn,7,0.958539738215232,128,0.35,0.0005,0.0005,False,1.5,4,0.41910352823481767,0.6809577134325174,0.8125,0.3170731707317073,0.9124293785310734,0.15819209039548024,177,16,0.5099999999999999
gcn,8,0.958539738215232,128,0.35,0.0005,0.0005,False,2.0,4,0.41910352823481767,0.6809577134325174,0.8125,0.3170731707317073,0.9124293785310734,0.15819209039548024,177,16,0.5099999999999999
gcn,1,0.9110379796575406,128,0.35,0.0005,0.0001,True,1.5,4,0.41074880772560474,0.6669132149901381,0.625,0.3125,0.908545197740113,0.12429378531073447,177,16,0.6399999999999999
gcn,5,0.9110379796575406,128,0.35,0.0005,0.0005,True,1.5,4,0.41074880772560474,0.6669132149901381,0.625,0.3125,0.908545197740113,0.12429378531073447,177,16,0.6399999999999999
gcn,2,0.8551448986933177,128,0.35,0.0005,0.0001,True,2.0,4,0.36404925704682856,0.6553571428571429,0.625,0.29411764705882354,0.8937146892655368,0.13559322033898305,177,16,0.625
gcn,6,0.8551448986933177,128,0.35,0.0005,0.0005,True,2.0,4,0.36404925704682856,0.6553571428571429,0.625,0.29411764705882354,0.8937146892655368,0.13559322033898305,177,16,0.625
graphsage,10,1.4454962894106442,128,0.25,0.001,0.0001,True,2.0,4,0.7982474506275379,0.8248638838475499,0.8125,0.5909090909090909,0.9562146892655368,0.05084745762711865,177,16,0.6699999999999999
graphsage,9,1.4352258904150492,128,0.25,0.001,0.0001,True,1.5,4,0.787977051631943,0.8248638838475499,0.8125,0.5909090909090909,0.9576271186440678,0.05084745762711865,177,16,0.6499999999999999
graphsage,2,1.274673207833815,128,0.25,0.0005,0.0001,True,2.0,4,0.706478848126866,0.7175885279484928,0.8125,0.37142857142857144,0.9088983050847458,0.12429378531073447,177,16,0.6549999999999999
graphsage,6,1.274673207833815,128,0.25,0.0005,0.0005,True,2.0,4,0.706478848126866,0.7175885279484928,0.8125,0.37142857142857144,0.9088983050847458,0.12429378531073447,177,16,0.6549999999999999
graphsage,1,1.262883072789629,128,0.25,0.0005,0.0001,True,1.5,4,0.6997250667677744,0.7110778443113772,0.8125,0.3611111111111111,0.9124293785310734,0.12994350282485875,177,16,0.63
graphsage,5,1.262883072789629,128,0.25,0.0005,0.0005,True,1.5,4,0.6997250667677744,0.7110778443113772,0.8125,0.3611111111111111,0.9124293785310734,0.12994350282485875,177,16,0.63
graphsage,3,1.1626233695060795,128,0.25,0.0005,0.0001,False,1.5,4,0.6449383868197299,0.6541218637992832,0.8125,0.2826086956521739,0.911723163841808,0.1864406779661017,177,16,0.57
graphsage,4,1.1626233695060795,128,0.25,0.0005,0.0001,False,2.0,4,0.6449383868197299,0.6541218637992832,0.8125,0.2826086956521739,0.911723163841808,0.1864406779661017,177,16,0.57
graphsage,7,1.1626233695060795,128,0.25,0.0005,0.0005,False,1.5,4,0.6449383868197299,0.6541218637992832,0.8125,0.2826086956521739,0.911723163841808,0.1864406779661017,177,16,0.57
graphsage,8,1.1626233695060795,128,0.25,0.0005,0.0005,False,2.0,4,0.6449383868197299,0.6541218637992832,0.8125,0.2826086956521739,0.911723163841808,0.1864406779661017,177,16,0.57
