model,trial,score,hidden_dim,dropout,learning_rate,weight_decay,use_focal_loss,focal_gamma,heads,pr_auc,macro_f1,illicit_recall,precision,roc_auc,false_positive_rate,support_licit,support_illicit,selected_threshold
gat,6,1.302258303677251,64,0.3,0.0005,0.0001,False,1.5,6,0.6715835659855642,0.8161904761904761,0.75,0.6,0.9251412429378532,0.04519774011299435,177,16,0.63
gat,8,1.302258303677251,64,0.3,0.0005,0.0001,False,2.0,6,0.6715835659855642,0.8161904761904761,0.75,0.6,0.9251412429378532,0.04519774011299435,177,16,0.63
gat,2,1.2620054794306683,64,0.3,0.0005,0.0001,True,1.5,6,0.666454631973041,0.7955508474576272,0.625,0.625,0.9262005649717513,0.03389830508474576,177,16,0.6549999999999999
gat,4,0.9645154057744497,64,0.3,0.0005,0.0001,True,2.0,6,0.47436660889674476,0.7013308573197152,0.375,0.5454545454545454,0.8817090395480225,0.02824858757062147,177,16,0.62
gat,3,0.8708818976255194,64,0.3,0.0005,0.0001,True,2.0,4,0.44465903896235826,0.6364542936288089,0.25,0.4444444444444444,0.8361581920903955,0.02824858757062147,177,16,0.8049999999999999
gat,1,0.8206068267631447,64,0.3,0.0005,0.0001,True,1.5,4,0.4286736713490921,0.6001381215469613,0.1875,0.375,0.8280367231638418,0.02824858757062147,177,16,0.8049999999999999
gat,5,0.8160601018273479,64,0.3,0.0005,0.0001,False,1.5,4,0.4241269464132953,0.6001381215469613,0.1875,0.375,0.8361581920903954,0.02824858757062147,177,16,0.8049999999999999
gat,7,0.8160601018273479,64,0.3,0.0005,0.0001,False,2.0,4,0.4241269464132953,0.6001381215469613,0.1875,0.375,0.8361581920903954,0.02824858757062147,177,16,0.8049999999999999
gcn,3,0.8902330794243538,128,0.35,0.0005,0.0001,False,1.5,4,0.3767768369429248,0.660374340105583,0.75,0.2926829268292683,0.8686440677966102,0.1638418079096045,177,16,0.5399999999999999
gcn,4,0.8902330794243538,128,0.35,0.0005,0.0001,False,2.0,4,0.3767768369429248,0.660374340105583,0.75,0.2926829268292683,0.8686440677966102,0.1638418079096045,177,16,0.5399999999999999
gcn,7,0.8902330794243538,128,0.35,0.0005,0.0005,False,1.5,4,0.3767768369429248,0.660374340105583,0.75,0.2926829268292683,0.8686440677966102,0.1638418079096045,177,16,0.5399999999999999
gcn,8,0.8902330794243538,128,0.35,0.0005,0.0005,False,2.0,4,0.3767768369429248,0.660374340105583,0.75,0.2926829268292683,0.8686440677966102,0.1638418079096045,177,16,0.5399999999999999
gcn,1,0.7554627159234439,128,0.35,0.0005,0.0001,True,1.5,4,0.3199861400331373,0.6385767790262172,0.3125,0.35714285714285715,0.8524011299435029,0.05084745762711865,177,16,0.6849999999999999
gcn,5,0.7545252159234439,128,0.35,0.0005,0.0005,True,1.5,4,0.31904864003313727,0.6385767790262172,0.3125,0.35714285714285715,0.8520480225988701,0.05084745762711865,177,16,0.6849999999999999
gcn,2,0.7522183430593127,128,0.35,0.0005,0.0001,True,2.0,4,0.3073834295608145,0.5894376618571957,0.6875,0.21153846153846154,0.8439265536723164,0.23163841807909605,177,16,0.605
gcn,6,0.7522183430593127,128,0.35,0.0005,0.0005,True,2.0,4,0.3073834295608145,0.5894376618571957,0.6875,0.21153846153846154,0.8439265536723164,0.23163841807909605,177,16,0.605
graphsage,3,1.4192359875375278,128,0.25,0.0005,0.0001,False,1.5,4,0.7896102813228386,0.8296257062146892,0.6875,0.6875,0.9477401129943502,0.02824858757062147,177,16,0.57
graphsage,4,1.4192359875375278,128,0.25,0.0005,0.0001,False,2.0,4,0.7896102813228386,0.8296257062146892,0.6875,0.6875,0.9477401129943502,0.02824858757062147,177,16,0.57
graphsage,7,1.4192359875375278,128,0.25,0.0005,0.0005,False,1.5,4,0.7896102813228386,0.8296257062146892,0.6875,0.6875,0.9477401129943502,0.02824858757062147,177,16,0.57
graphsage,8,1.4192359875375278,128,0.25,0.0005,0.0005,False,2.0,4,0.7896102813228386,0.8296257062146892,0.6875,0.6875,0.9477401129943502,0.02824858757062147,177,16,0.57
graphsage,1,1.367733070101158,128,0.25,0.0005,0.0001,True,1.5,4,0.7741456460206461,0.8074620909816441,0.5625,0.75,0.9473870056497176,0.01694915254237288,177,16,0.6449999999999999
graphsage,5,1.367733070101158,128,0.25,0.0005,0.0005,True,1.5,4,0.7741456460206461,0.8074620909816441,0.5625,0.75,0.9473870056497176,0.01694915254237288,177,16,0.6449999999999999
graphsage,2,1.3483035696258316,128,0.25,0.0005,0.0001,True,2.0,4,0.7547161455453197,0.8074620909816441,0.5625,0.75,0.9427966101694916,0.01694915254237288,177,16,0.6499999999999999
graphsage,6,1.3483035696258316,128,0.25,0.0005,0.0005,True,2.0,4,0.7547161455453197,0.8074620909816441,0.5625,0.75,0.9427966101694916,0.01694915254237288,177,16,0.6499999999999999
